start with arguments Namespace(ad_g_lr=0.01, epoch=200, g_step=1, gen_batch_size=32, gen_pre_batch_size=64, pre_g_epoch=120, pre_g_lr=0.01, pre_r_epoch=50, prefix='with_batch', r_step=5, rank_batch_size=64, rank_lr=0.0001, ref_size=16, restore_model=False, rollout_num=16, rollout_ratio=0.8, save_model=False)
Start pre-training generator
Pretrain generator epoch: 0, test_loss: 10.1906
Pretrain generator epoch: 5, test_loss: 9.4839
Pretrain generator epoch: 10, test_loss: 9.2654
Pretrain generator epoch: 15, test_loss: 9.2103
Pretrain generator epoch: 20, test_loss: 9.1553
Pretrain generator epoch: 25, test_loss: 9.1350
Pretrain generator epoch: 30, test_loss: 9.1220
Pretrain generator epoch: 35, test_loss: 9.1097
Pretrain generator epoch: 40, test_loss: 9.1006
Pretrain generator epoch: 45, test_loss: 9.0933
Pretrain generator epoch: 50, test_loss: 9.0963
Pretrain generator epoch: 55, test_loss: 9.0873
Pretrain generator epoch: 60, test_loss: 9.0966
Pretrain generator epoch: 65, test_loss: 9.0765
Pretrain generator epoch: 70, test_loss: 9.0845
Pretrain generator epoch: 75, test_loss: 9.0995
Pretrain generator epoch: 80, test_loss: 9.0950
Pretrain generator epoch: 85, test_loss: 9.0911
Pretrain generator epoch: 90, test_loss: 9.1079
Pretrain generator epoch: 95, test_loss: 9.0902
Pretrain generator epoch: 100, test_loss: 9.0897
Pretrain generator epoch: 105, test_loss: 9.1028
Pretrain generator epoch: 110, test_loss: 9.0699
Pretrain generator epoch: 115, test_loss: 9.0909
Start pre-training rankder
Pretrain ranker epoch: 0, training loss: -0.0049
Pretrain ranker epoch: 5, training loss: -0.0105
Pretrain ranker epoch: 10, training loss: -0.5623
Pretrain ranker epoch: 15, training loss: -0.7384
Pretrain ranker epoch: 20, training loss: -0.6886
Pretrain ranker epoch: 25, training loss: -0.7137
Pretrain ranker epoch: 30, training loss: -0.6163
Pretrain ranker epoch: 35, training loss: -0.6415
Pretrain ranker epoch: 40, training loss: -0.6531
Pretrain ranker epoch: 45, training loss: -0.6791
Restoring parameters from ./save/pre_model.ckpt
#########################################################################
Start adversarial training.
Epoch: 0, test_loss: 9.0675
Epoch: 5, test_loss: 8.9894
Epoch: 10, test_loss: 8.9015
Epoch: 15, test_loss: 8.8229
Epoch: 20, test_loss: 8.7599
Epoch: 25, test_loss: 8.6234
Epoch: 30, test_loss: 8.5265
Epoch: 35, test_loss: 8.4167
Epoch: 40, test_loss: 8.3443
Epoch: 45, test_loss: 8.2511
Epoch: 50, test_loss: 8.1566
Epoch: 55, test_loss: 8.0490
Epoch: 60, test_loss: 7.9609
Epoch: 65, test_loss: 7.9356
Epoch: 70, test_loss: 7.9841
Epoch: 75, test_loss: 8.0654
Epoch: 80, test_loss: 8.0461
Epoch: 85, test_loss: 8.0166
Epoch: 90, test_loss: 7.9123
Epoch: 95, test_loss: 7.8647
Epoch: 100, test_loss: 7.8157
Epoch: 105, test_loss: 7.8636
Epoch: 110, test_loss: 7.8440
Epoch: 115, test_loss: 7.8569
Epoch: 120, test_loss: 8.0407
Epoch: 125, test_loss: 8.0699
Epoch: 130, test_loss: 8.0923
Epoch: 135, test_loss: 7.9613
Epoch: 140, test_loss: 7.9646
Epoch: 145, test_loss: 7.9646
Epoch: 150, test_loss: 7.9599
Epoch: 155, test_loss: 7.9257
Epoch: 160, test_loss: 7.8765
Epoch: 165, test_loss: 7.8797
Epoch: 170, test_loss: 7.8479
Epoch: 175, test_loss: 7.8929
Epoch: 180, test_loss: 7.8467
Epoch: 185, test_loss: 7.8147
Epoch: 190, test_loss: 7.8016
Epoch: 195, test_loss: 7.8908
